"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T08:32:24.9358722+07:00","20388",,"39,33","55,96","27,4","3564","0,1"
"2026-08-18T08:32:28.4540334+07:00","20388",,"39,33","55,96","28,61","3528","0,08"
"2026-08-18T08:32:30.4702169+07:00","20388",,"39,33","55,96","30,06","3536","0,16"
"2026-08-18T08:32:32.4942886+07:00","20388",,"39,33","55,96","24,01","3548","0,18"
"2026-08-18T08:32:34.5167638+07:00","20388",,"39,33","55,96","29,91","3543","0,46"
"2026-08-18T08:32:36.5472076+07:00","20388",,"40,12","56,74","73,86","3449","1,16"
"2026-08-18T08:32:38.6247714+07:00","20388",,"41,43","57,68","48,11","3341","9,37"
"2026-08-18T08:32:40.6431248+07:00","20388",,"45,28","61,83","43,85","3297","4,79"
"2026-08-18T08:32:42.6626691+07:00","20388",,"52,76","66,42","30,23","3314","3,49"
"2026-08-18T08:32:44.6822487+07:00","20388",,"52,75","66,63","16,46","3313","3,86"
"2026-08-18T08:32:46.6983691+07:00","20388",,"57,29","75,5","20,94","3286","3,24"
"2026-08-18T08:32:48.7242376+07:00","20388",,"57,66","75,13","29,62","3276","29,71"
"2026-08-18T08:32:50.7469370+07:00","20388",,"61,45","76,3","28,45","3301","3,63"
"2026-08-18T08:32:52.7699004+07:00","20388",,"59,78","74,3","13,29","3279","3,96"
"2026-08-18T08:32:54.7956114+07:00","20388",,"61,85","92,3","24,26","3390","3,13"
"2026-08-18T08:32:56.8220776+07:00","20388",,"66,87","93","36,72","3438","3,65"
"2026-08-18T08:32:58.8465285+07:00","20388",,"68,02","92,93","22,66","3685","0,02"
