"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:51:04.9063843+07:00","20388",,"69.61","96.32","42.76","4035","0.06"
"2026-08-18T09:51:09.4750524+07:00","20388","0.23","71.86","96.32","24.63","4036","0"
"2026-08-18T09:51:13.5038886+07:00","20388","0.52","72.31","97.32","23.26","4028","0"
"2026-08-18T09:51:17.5418335+07:00","20388","0.84","72.33","97.32","16.2","4010","0.15"
"2026-08-18T09:51:21.5578077+07:00","20388","1.17","79.61","98.88","13.71","4003","0.04"
"2026-08-18T09:51:25.5728648+07:00","20388","1.46","83.75","102.23","14.86","3992","0.44"
"2026-08-18T09:51:29.6042452+07:00","20388","1.68","85.36","103.32","19.89","3984","0.06"
"2026-08-18T09:51:33.6314577+07:00","20388","1.84","85.4","103.32","23.35","3920","0.08"
"2026-08-18T09:51:37.6606877+07:00","20388","2.39","85.41","103.33","18.01","3851","0.08"
"2026-08-18T09:51:41.6792418+07:00","20388","2.11","85.84","103.85","16.29","3814","0.05"
"2026-08-18T09:51:45.7023331+07:00","20388","2.04","86.21","103.85","27.35","3743","0.13"
"2026-08-18T09:51:49.7233861+07:00","20388","2.56","86.21","103.85","13.77","3693","0.07"
"2026-08-18T09:51:53.7423749+07:00","20388","2.4","86.24","103.85","22.26","3616","0.3"
"2026-08-18T09:51:57.7622976+07:00","20388","2.66","86.24","103.85","18.07","3577","0.07"
"2026-08-18T09:52:01.7891354+07:00","20388","2.81","86.25","103.85","21.02","3500","0.42"
"2026-08-18T09:52:05.8175436+07:00","20388","2.52","86.31","103.85","17.01","3448","0.26"
"2026-08-18T09:52:09.8390365+07:00","20388","1.65","86.45","104.38","21.83","3427","0.13"
"2026-08-18T09:52:13.8611638+07:00","20388","2.2","86.45","104.38","15.13","3418","0.12"
"2026-08-18T09:52:17.8730321+07:00","20388","2.08","86.46","104.38","19.57","3417","0.06"
"2026-08-18T09:52:21.8978201+07:00","20388","2.1","86.47","104.39","15.04","3419","0.07"
"2026-08-18T09:52:25.9203038+07:00","20388","2.14","86.47","104.39","20.18","3422","0"
"2026-08-18T09:52:29.9540700+07:00","20388","1.94","86.47","104.39","20.89","3393","0"
"2026-08-18T09:52:33.9789106+07:00","20388","2.26","86.47","104.39","18.25","3393","0.06"
"2026-08-18T09:52:37.9958498+07:00","20388","2.07","86.47","104.39","22.22","3388","0"
