"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:39:45.1404145+07:00","20388",,"45.12","58.21","66.19","3622","0.68"
"2026-08-18T09:39:48.7363169+07:00","20388","0","45.2","58.21","12.89","3618","0.21"
"2026-08-18T09:39:51.7659393+07:00","20388","0","45.32","58.21","18.56","3569","0.05"
"2026-08-18T09:39:54.7883367+07:00","20388","0","45.57","58.21","11.74","3567","0"
"2026-08-18T09:39:57.8131406+07:00","20388","0","46.3","59.24","21.94","3656","0.08"
"2026-08-18T09:40:00.8422163+07:00","20388","0","46.85","59.24","16.81","3606","0.44"
"2026-08-18T09:40:03.8731320+07:00","20388","0.04","47.35","59.3","15.35","3617","0.16"
"2026-08-18T09:40:06.9010101+07:00","20388","0.04","47.35","59.47","20","3686","0.03"
"2026-08-18T09:40:09.9281528+07:00","20388","0.04","48.11","60.29","13.26","3704","0.23"
"2026-08-18T09:40:12.9473498+07:00","20388","0.26","48.56","60.55","17.53","3671","0.04"
"2026-08-18T09:40:15.9709435+07:00","20388","0.09","50.54","63.21","18.03","3628","0.16"
"2026-08-18T09:40:19.0058355+07:00","20388","0.04","50.98","63.72","11.63","3651","0.01"
"2026-08-18T09:40:22.0314728+07:00","20388","0.13","51.35","64.24","16.51","3664","0"
"2026-08-18T09:40:25.0574138+07:00","20388","0.04","51.81","64.51","13.36","3648","0"
"2026-08-18T09:40:28.0862171+07:00","20388","0.09","52.2","65.03","11.8","3615","0.06"
"2026-08-18T09:40:31.1140864+07:00","20388","0","52.45","65.29","20.68","3623","0.11"
"2026-08-18T09:40:34.1324850+07:00","20388","0","52.83","65.54","13","3634","0.08"
"2026-08-18T09:40:37.1624612+07:00","20388","0.13","53.2","66.06","16.09","3646","0.12"
"2026-08-18T09:40:40.1923568+07:00","20388","0.09","53.45","66.32","15.19","3587","0.15"
"2026-08-18T09:40:43.2189987+07:00","20388","0.09","53.83","66.57","15.34","3629","0.51"
"2026-08-18T09:40:46.2490040+07:00","20388","0.09","54.27","67.35","12.49","3619","0.04"
"2026-08-18T09:40:49.2687280+07:00","20388","0.09","54.63","67.61","16.65","3632","0.01"
"2026-08-18T09:40:52.2822847+07:00","20388","0.04","55.48","67.87","14.85","3633","0"
"2026-08-18T09:40:55.3030067+07:00","20388","0.04","55.86","68.13","11.23","3627","0.01"
"2026-08-18T09:40:58.3233072+07:00","20388","0.09","56.29","68.64","13.15","3636","0.16"
"2026-08-18T09:41:01.3544925+07:00","20388","0.09","56.67","68.9","14.37","3646","0"
"2026-08-18T09:41:04.3778246+07:00","20388","0.09","56.76","69.42","19.44","3645","0"
"2026-08-18T09:41:07.4028160+07:00","20388","0.04","57.36","69.68","14.41","3637","0.16"
"2026-08-18T09:41:10.4332633+07:00","20388","0.21","57.6","69.98","19.17","3653","0.11"
"2026-08-18T09:41:13.4559314+07:00","20388","0.04","57.6","69.98","15.33","3621","0.08"
"2026-08-18T09:41:16.4803943+07:00","20388","0.04","57.6","69.98","17.67","3625","0.01"
"2026-08-18T09:41:19.5101055+07:00","20388","0.09","57.6","69.98","29.68","3567","0.2"
"2026-08-18T09:41:22.5368371+07:00","20388","0.52","57.38","70.27","14.34","3620","0.12"
"2026-08-18T09:41:25.5663737+07:00","20388","0.04","57.39","70.27","13.16","3605","0.02"
"2026-08-18T09:41:28.5909989+07:00","20388","0.04","57.39","70.27","20.56","3622","0.38"
"2026-08-18T09:41:31.6126321+07:00","20388","0.13","57.39","70.27","7.45","3583","0"
"2026-08-18T09:41:34.6422761+07:00","20388","0.04","57.46","70.27","21.93","3592","0.08"
"2026-08-18T09:41:37.6554293+07:00","20388","0.04","57.46","70.27","14.31","3561","0.07"
"2026-08-18T09:41:40.6757959+07:00","20388","0.04","57.59","70.27","38.88","3552","0.1"
"2026-08-18T09:41:43.6982072+07:00","20388","0","57.59","70.27","13.25","3554","0"
"2026-08-18T09:41:46.7234109+07:00","20388","0.04","57.59","70.27","35.23","3544","6.6"
"2026-08-18T09:41:49.7524639+07:00","20388","0","57.59","70.27","20.85","3790","0.22"
"2026-08-18T09:41:52.7766325+07:00","20388","0","57.59","70.27","15.25","3808","0.18"
"2026-08-18T09:41:55.8083403+07:00","20388","0","57.59","70.27","11.42","3729","0.02"
"2026-08-18T09:41:58.8255924+07:00","20388","0","57.59","70.27","20.74","3750","0"
