"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:48:41.0397602+07:00","20388",,"84.26","102.75","40.18","3968","1.68"
"2026-08-18T09:48:44.6201665+07:00","20388","0.04","85.57","103.82","14.89","3887","0.16"
"2026-08-18T09:48:47.6514638+07:00","20388","0.09","85.57","103.82","14.29","3907","0.26"
"2026-08-18T09:48:50.6844940+07:00","20388","0.09","85.57","103.82","24.43","4062","0.53"
"2026-08-18T09:48:53.7035045+07:00","20388","0.04","85.57","103.82","17.81","4059","0.29"
"2026-08-18T09:48:56.7347226+07:00","20388","0.13","85.57","103.82","11.49","4058","0.26"
"2026-08-18T09:48:59.7616235+07:00","20388","0.13","85.57","103.82","20.83","4047","0.33"
"2026-08-18T09:49:02.7859078+07:00","20388","0","85.57","103.82","16.53","4038","0.3"
"2026-08-18T09:49:05.8116557+07:00","20388","1.76","85.39","102.31","37.13","3995","7.28"
"2026-08-18T09:49:08.8420199+07:00","20388","2.54","87.15","104.43","35.55","3962","9.82"
"2026-08-18T09:49:11.8622086+07:00","20388","1.81","87.88","108.75","22.02","3949","11.39"
"2026-08-18T09:49:14.8837794+07:00","20388","0.04","88.07","109.07","10.46","3975","0.09"
"2026-08-18T09:49:17.9094019+07:00","20388","0.04","88.07","109.19","7.33","3973","0.34"
"2026-08-18T09:49:20.9347498+07:00","20388","0.13","48.18","60.91","18.86","3990","5.24"
"2026-08-18T09:49:23.9615790+07:00","20388","0.22","49.25","64.01","11.62","4006","0.27"
"2026-08-18T09:49:26.9819182+07:00","20388","0.26","50","64.01","17.13","4002","0.4"
"2026-08-18T09:49:30.0097445+07:00","20388","0.09","50.61","64.01","13.87","3987","0.28"
"2026-08-18T09:49:33.0317157+07:00","20388","0","50.99","64.01","43.6","3878","3.04"
"2026-08-18T09:49:36.0535026+07:00","20388","0","50.99","64.01","9.24","4281","0.27"
"2026-08-18T09:49:39.0790971+07:00","20388","0","50.99","64.01","23.35","4274","0.07"
"2026-08-18T09:49:42.0969593+07:00","20388","0","50.99","64.01","12.1","4260","0"
"2026-08-18T09:49:45.1214575+07:00","20388","0","50.99","64.01","14.64","4228","0.09"
