"Timestamp","BackendProcessId","BackendCpuPercent","BackendWorkingSetMB","BackendPrivateMemoryMB","SystemCpuPercent","AvailableMemoryMB","PhysicalDiskTimePercent"
"2026-08-18T09:43:30.0983613+07:00","20388",,"57.42","70.27","64.13","3760","0.13"
"2026-08-18T09:43:33.7321247+07:00","20388","0.72","58.27","71.32","38.46","3698","7.8"
"2026-08-18T09:43:36.7704794+07:00","20388","2.79","67.36","81.12","35.42","3665","8.49"
"2026-08-18T09:43:39.8014549+07:00","20388","1.98","71.29","98.7","30.18","3652","9.51"
"2026-08-18T09:43:42.8341182+07:00","20388","2.58","82.09","98.7","23.69","3648","9.15"
"2026-08-18T09:43:45.8585557+07:00","20388","2.11","84.9","101.53","31.23","3626","9.16"
"2026-08-18T09:43:48.8807482+07:00","20388","2.33","89.57","102.82","38.4","3669","9.64"
"2026-08-18T09:43:51.9095793+07:00","20388","1.63","89.91","102.82","22.76","3726","8.67"
"2026-08-18T09:43:54.9337740+07:00","20388","2.24","90.7","104.11","22.54","3769","16.14"
"2026-08-18T09:43:57.9609520+07:00","20388","1.29","91.64","104.42","20.95","3781","20.98"
"2026-08-18T09:44:00.9919605+07:00","20388","2.28","91.65","104.42","21.2","3768","46.08"
"2026-08-18T09:44:04.0162392+07:00","20388","2.11","92.62","105.47","29.02","3746","9.72"
"2026-08-18T09:44:07.0487916+07:00","20388","2.58","92.91","106.46","19.38","3745","89.51"
"2026-08-18T09:44:10.0802766+07:00","20388","2.1","92.25","105","25.43","3741","10.02"
"2026-08-18T09:44:13.1072130+07:00","20388","1.94","92.31","105.01","28.96","3729","39.78"
"2026-08-18T09:44:16.1304713+07:00","20388","2.41","92.58","105.41","19.87","3727","10.16"
"2026-08-18T09:44:19.1508845+07:00","20388","1.68","94.64","107.11","21.66","3699","9.01"
"2026-08-18T09:44:22.1765949+07:00","20388","2.15","92.48","104.88","24.07","3667","9.3"
"2026-08-18T09:44:25.2037331+07:00","20388","1.63","93.16","105.62","26.32","3666","25.34"
"2026-08-18T09:44:28.2296537+07:00","20388","2.28","93.68","107.13","26.16","3636","9.42"
"2026-08-18T09:44:31.2496126+07:00","20388","2.07","92.95","105.25","24.71","3621","9.01"
"2026-08-18T09:44:34.2716555+07:00","20388","1.21","92.99","105.43","23.97","3598","0.12"
"2026-08-18T09:44:37.2941808+07:00","20388","0","92.99","105.43","23.16","4088","0.26"
"2026-08-18T09:44:40.3227921+07:00","20388","0","47","59.16","11.24","4148","0.11"
"2026-08-18T09:44:43.3479947+07:00","20388","0","47","59.16","8.74","4156","0.23"
"2026-08-18T09:44:46.3663624+07:00","20388","0","47","59.16","7.69","4140","0"
